Waterbody Official Name,Waterbody Common Name,ATS,Species,Strain*,Genotype**,"Average
Length (cm)",Number Stocked,Stocking Date
Rat Lake,,SW11-38-9-W5,TGTR,Beitty/Bow River,3N,23.3,700,16-09-2024
Rat Lake,,SW11-38-9-W5,BKTR,Beitty Resort,3N,12.9,2500,16-09-2024
Reesor Lake,,NW20-8-1-W4,RNTR,Campbell Lake,2N,20.1,6400,24-04-2024
Reesor Lake,,NW20-8-1-W4,TGTR,Beitty/Bow River,3N,19.4,3500,24-04-2024
Rocky Children's Pond,,SW33-39-7-W5,RNTR,Campbell Lake,2N,45.1,10,13-05-2024
Rocky Children's Pond,,SW33-39-7-W5,RNTR,Campbell Lake,3N,27.7,250,13-05-2024
Rocky Children's Pond,,SW33-39-7-W5,RNTR,Riverence,AF3N,23.2,500,31-05-2024
Rocky Children's Pond,,SW33-39-7-W5,RNTR,Riverence,AF3N,23.2,500,31-05-2024
Running Lake,,SW34-88-7-W6,RNTR,"Trout
Lodge/Jumpers",AF3N,20.1,2072,14-05-2024
Running Lake,,SW34-88-7-W6,RNTR,"Trout
Lodge/Jumpers",AF3N,20.7,103,14-05-2024
Salter's Lake,,SW26-54-2-W5,TGTR,Beitty/Bow River,3N,19.5,2000,01-05-2024
Salter's Lake,,SW26-54-2-W5,RNTR,Campbell Lake,2N,20.1,2332,01-05-2024
Salter's Lake,,SW26-54-2-W5,RNTR,Campbell Lake,2N,19.2,668,01-05-2024
Salter's Lake,,SW26-54-2-W5,RNTR,Campbell Lake,2N,20.7,3000,07-10-2024
Sardine Lake,,SW5-49-4-W5,RNTR,Campbell Lake,3N,20.8,1250,01-05-2024
Sauer Lake,,NE28-53-1-W5,RNTR,Campbell Lake,2N,20.3,2400,01-05-2024
Schuman Lake,,SE35-61-8-W5,RNTR,Campbell Lake,2N,10.2,7500,13-05-2024
Schuman Lake,,SE35-61-8-W5,RNTR,Campbell Lake,2N,21,1556,16-05-2024
Schuman Lake,,SE35-61-8-W5,RNTR,Campbell Lake,2N,20,4744,16-05-2024
Schuman Lake,,SE35-61-8-W5,TGTR,Beitty/Bow River,3N,19.5,500,16-05-2024
Sherburne Lake,"Sherburne
Reservoir",NE24-9-14-W4,WALL,Lac Ste. Anne,2N,0.04,500000,29-05-2024
Shunda Lake,Fish Lake,SW19-40-15-W5,RNTR,Campbell Lake,3N,20.1,7644,07-05-2024
Shunda Lake,Fish Lake,SW19-40-15-W5,RNTR,Campbell Lake,3N,20.3,2356,07-05-2024
Shunda Lake,Fish Lake,SW19-40-15-W5,RNTR,Campbell Lake,3N,21.6,6350,23-09-2024
Shunda Lake,Fish Lake,SW19-40-15-W5,RNTR,Campbell Lake,3N,17.5,11650,23-09-2024
"Sibbald Meadows
Pond",,SW20-24-7-W5,RNTR,Riverence,AF3N,23.2,1004,13-05-2024
"Sibbald Meadows
Pond",,SW20-24-7-W5,RNTR,Riverence,AF3N,23.1,1322,05-06-2024
Skeleton Lake,,NW7-65-18-W4,WALL,Marie Creek,2N,0.04,343091,02-06-2024
South Sundance Lake,,SE1-55-21-W5,BKTR,Beitty Resort,3N,12.9,4500,02-10-2024
Spring Lake,Cottage,SW30-52-1-W5,RNTR,Campbell Lake,2N,20.1,4000,01-05-2024
Spring Lake,Cottage,SW30-52-1-W5,BNTR,Bow River,3N,20.2,500,01-05-2024
Spring Lake,Cottage,SW30-52-1-W5,TGTR,Beitty/Bow River,3N,20.3,1500,01-05-2024
Spring Lake,Cottage,SW30-52-1-W5,RNTR,Campbell Lake,2N,10.1,7500,16-05-2024
Spring Lake,Cottage,SW30-52-1-W5,RNTR,Campbell Lake,2N,19.1,10000,27-09-2024
Spring Lake,Cottage,SW30-52-1-W5,TGTR,Beitty/Bow River,3N,23.4,1627,28-09-2024
Spruce Coulee Reservoir,,SW26-8-2-W4,BKTR,Beitty Resort,3N,18.8,5000,25-04-2024
"Spruce Coulee
Reservoir",,SW26-8-2-W4,BKTR,Beitty Resort,3N,12.6,12257,27-09-2024
"Spruce Coulee
Reservoir",,SW26-8-2-W4,BKTR,Beitty Resort,3N,13.2,5000,05-10-2024
Star Lake,,NE19-52-2-W5,RNTR,Campbell Lake,2N,20.4,3216,30-04-2024
Star Lake,,NE19-52-2-W5,BNTR,Bow River,3N,20.2,500,30-04-2024
Star Lake,,NE19-52-2-W5,TGTR,Beitty/Bow River,3N,19.6,1000,30-04-2024
Strubel Lake,,SW30-37-7-W5,RNTR,Campbell Lake,3N,20.2,6400,06-05-2024
Strubel Lake,,SW30-37-7-W5,RNTR,Campbell Lake,3N,20.5,7500,23-09-2024
Sulphur Lake,,NW7-89-2-W6,RNTR,Campbell Lake,3N,20,3750,27-05-2024
Swan Lake,,SW18-70-25-W5,RNTR,Campbell Lake,3N,19.3,7500,17-05-2024
Swan Lake,,SW18-70-25-W5,RNTR,Campbell Lake,3N,20.8,15000,19-09-2024
Sylvan Lake,,NW23-39-2-W5,WALL,Lac Ste. Anne,2N,0.04,1468869,30-05-2024
Sylvan Lake,,NW23-39-2-W5,WALL,Lac Ste. Anne,2N,0.04,2175257,31-05-2024
Tay Lake,,SW5-36-8-W5,RNTR,"Trout
Lodge/Jumpers",AF3N,20.9,2500,03-06-2024
Travers Reservoir,,SW33-14-21-W4,WALL,Lac Ste. Anne,2N,0.04,1990842,25-05-2024
Travers Reservoir,,SW33-14-21-W4,WALL,Lac Ste. Anne,2N,0.04,509158,27-05-2024
Twin Lakes,East Twin Lake,NE29-97-22-W5,RNTR,Campbell Lake,2N,20,1680,14-05-2024
Twin Lakes,East Twin Lake,NE29-97-22-W5,TGTR,Beitty/Bow River,3N,19.4,1000,14-05-2024
Twin Lakes,East Twin Lake,NE29-97-22-W5,RNTR,Campbell Lake,2N,20.4,4200,16-09-2024
Twin Lakes,,SW6-40-7-W5,RNTR,Campbell Lake,3N,20,3500,02-05-2024
Twin Lakes,,SW6-40-7-W5,RNTR,Campbell Lake,2N,35.1,26,08-05-2024
Twin Lakes,,SW6-40-7-W5,RNTR,Campbell Lake,2N,65,65,06-10-2024
Two Lakes,North Two Lake,NE20-62-12-W6,RNTR,"Trout
Lodge/Jumpers",AF3N,20.7,3600,21-05-2024
Two Lakes,South Two Lake,NE7-62-12-W6,RNTR,Trout Lodge/Silver's,AF3N,16.3,5000,29-05-2024
Unnamed,"Acadia Valley
Reservoir",SW5-25-2-W4,BKTR,Beitty Resort,3N,18.5,2000,23-04-2024
Unnamed,"Acadia Valley
Reservoir",SW5-25-2-W4,RNTR,Campbell Lake,2N,20.2,2000,23-04-2024
Unnamed,Allison Lake,SW27-8-5-W5,RNTR,Pit Lakes,3N,19.7,3740,17-05-2024
Unnamed,Anderson Dam,SW25-28-21-W4,RNTR,"Trout
Lodge/Kamloops",AF3N,20.5,900,22-04-2024
Unnamed,"Ardmore
Community Pond",NW1-62-4-W4,RNTR,Campbell Lake,2N,20,160,03-05-2024
Unnamed,"Ashland
Reservoir",NW17-48-3-W5,RNTR,Campbell Lake,2N,20,3200,29-04-2024
Unnamed,"Atlantic Richfield
Reservoir",NE29-67-9-W5,RNTR,Campbell Lake,2N,20.2,1220,16-05-2024
Unnamed,Avalanche Lake,NE29-28-10-W5,BKTR,Beitty Resort,3N,21.7,450,15-05-2024
Unnamed,Bashaw Pond,SE4-42-21-W4,RNTR,Trout Lodge/Jumpers,AF3N,20.9,500,18-04-2024
Unnamed,Bashaw Pond,SE4-42-21-W4,BKTR,Beitty Resort,3N,19.1,200,18-04-2024
Unnamed,Bathing Lake,SE11-4-1-W5,RNTR,Pit Lakes,3N,18.6,775,09-05-2024
Unnamed,Beaumont Pond,NW27-50-24-W4,BNTR,Bow River,3N,20.3,241,03-05-2024
Unnamed,Beaumont Pond,NW27-50-24-W4,TGTR,Beitty/Bow River,3N,19.7,200,03-05-2024
Unnamed,Beaumont Pond,NW27-50-24-W4,RNTR,Trout Lodge/Kamloops,AF3N,20.4,2000,14-05-2024
Unnamed,Bellis Beach Lake,SE15-59-15-W4,RNTR,Campbell Lake,2N,20,5600,02-05-2024
Unnamed,Big Iron Lake,NW1-15-4-W5,TGTR,Beitty/Bow River,3N,20,750,04-06-2024
Unnamed,"Black Nugget
Mine Pit",NW11-49-18-W4,RNTR,Campbell Lake,2N,20.1,5000,18-04-2024
Unnamed,"Black Nugget
Mine Pit",NW11-49-18-W4,TGTR,Beitty/Bow River,3N,20.1,4000,18-04-2024
Unnamed,"Black Nugget
Mine Pit",NW11-49-18-W4,RNTR,Riverence,AF2N,7.7,10000,18-04-2024
Unnamed,Boulder Lake,NE18-39-27-W4,RNTR,"Trout
Lodge/Kamloops",AF3N,20.5,1356,24-04-2024
Unnamed,Boulder Lake,NE18-39-27-W4,TGTR,Beitty/Bow River,3N,20.2,200,30-04-2024
Unnamed,Boulder Lake,NE18-39-27-W4,RNTR,"Trout
Lodge/Kamloops",AF3N,21.6,1600,07-06-2024
Unnamed,Boulder Lake,NE18-39-27-W4,RNTR,Trout Lodge/Silver's,AF3N,21.1,500,04-10-2024
Unnamed,"Bow City East
Ponds",NE15-17-17-W4,RNTR,"Trout
Lodge/Kamloops",AF3N,20.5,2000,18-04-2024
Unnamed,Boyle Pond,NE16-64-19-W4,RNTR,"Trout
Lodge/Jumpers",AF3N,20.1,2200,03-05-2024
Unnamed,"Brooks Aquaduct
Pond",NE15-18-14-W4,RNTR,Campbell Lake,2N,20.4,4000,15-04-2024
Unnamed,"Brooks Aquaduct
Pond",NE15-18-14-W4,RNTR,Riverence,AF2N,7.4,10000,15-04-2024
Unnamed,"Brooks Aquaduct
Pond",NE15-18-14-W4,RNTR,Campbell Lake,2N,9.9,10000,16-05-2024
Unnamed,"Brooks Aquaduct
Pond",NE15-18-14-W4,RNTR,Campbell Lake,2N,20.1,4885,16-05-2024
Unnamed,"Bud Miller Park
Pond",NE26-49-1-W4,RNTR,"Trout
Lodge/Jumpers",AF3N,20.9,1500,02-05-2024
Unnamed,Burmis Lake,SE14-7-3-W5,RNTR,Pit Lakes,3N,18.9,1000,10-05-2024
Unnamed,Burn's Reservoir,NE23-6-30-W4,RNTR,Pit Lakes,3N,18.6,1000,09-05-2024
Unnamed,By The Lake Park,SW22-46-24-W4,RNTR,Campbell Lake,2N,20.7,2000,29-04-2024
Unnamed,Camp 9 Trout Pond,NE32-44-8-W5,RNTR,Trout Lodge/Jumpers,AF3N,20.7,250,21-05-2024
Unnamed,Cardiff Park Pond,SW24-55-25-W4,RNTR,Campbell Lake,2N,20,4600,30-04-2024
Unnamed,Cardiff Park Pond,SW24-55-25-W4,BNTR,Bow River,3N,20.2,500,30-04-2024
Unnamed,Cardiff Park Pond,SW24-55-25-W4,TGTR,Beitty/Bow River,3N,19.6,2550,30-04-2024
Unnamed,Cardiff Park Pond,SW24-55-25-W4,RNTR,Campbell Lake,2N,9.9,10000,15-05-2024
Unnamed,Cardiff Park Pond,SW24-55-25-W4,RNTR,Campbell Lake,2N,8.2,15000,17-09-2024
Unnamed,Cardiff Park Pond,SW24-55-25-W4,RNTR,Campbell Lake,2N,20.6,7000,02-10-2024
Unnamed,Cardiff Park Pond,SW24-55-25-W4,TGTR,Beitty/Bow River,3N,10.8,12000,07-10-2024
Unnamed,Cardiff Park Pond,SW24-55-25-W4,RNTR,Campbell Lake,2N,55,50,16-10-2024
Unnamed,"Castaway Trout
Pond",NE35-47-13-W4,RNTR,"Trout
Lodge/Kamloops",AF3N,20.9,1100,10-05-2024
Unnamed,"Castor Eastside
Trout Pond",SE34-37-14-W4,RNTR,"Trout
Lodge/Kamloops",AF3N,20.9,400,10-05-2024
Unnamed,Castor Eastside Trout Pond,SE34-37-14-W4,RNTR,Trout Lodge/Kamloops,AF3N,30.1,30,10-05-2024
Unnamed,"Cecil Thompson
Pond",SW23-83-21-W5,RNTR,"Trout
Lodge/Jumpers",AF3N,20.7,500,14-05-2024
Unnamed,"Cipperley's
Reservoir",SW8-32-1-W5,RNTR,"Trout
Lodge/Kamloops",AF3N,20.5,1100,22-04-2024
Unnamed,Corner Lake,NW4-6-20-W4,RNTR,"Trout
Lodge/Jumpers",AF3N,20,2500,10-04-2024
Unnamed,Corner Lake,NW4-6-20-W4,RNTR,Campbell Lake,3N,17.7,10000,03-10-2024
Unnamed,"Coronation
Reservoir",SW24-36-11-W4,RNTR,Campbell Lake,2N,19.9,2120,17-04-2024
Unnamed,Coronation Reservoir,SW24-36-11-W4,BNTR,Bow River,3N,20.7,1000,17-04-2024
Unnamed,"Coronation
Reservoir",SW24-36-11-W4,TGTR,Beitty/Bow River,3N,18.6,1000,17-04-2024
Unnamed,"Coronation
Reservoir",SW24-36-11-W4,RNTR,Campbell Lake,2N,10.3,5000,16-05-2024
Unnamed,"County Sportplex
Pond",NW14-72-6-W6,RNTR,"Trout
Lodge/Jumpers",AF3N,20.1,2000,08-05-2024
Unnamed,County Sportplex Pond,NW14-72-6-W6,TGTR,Beitty/Bow River,3N,19.2,50,08-05-2024
Unnamed,"Crossfield Trout
Pond",SE27-28-1-W5,RNTR,"Trout
Lodge/Jumpers",AF3N,20.3,700,01-05-2024
Unnamed,Cummings Lake,SE10-82-3-W6,RNTR,Pit Lakes,3N,19.1,1600,16-05-2024
Unnamed,Dandurand Lake,NE9-53-19-W5,RNTR,"Trout
Lodge/Jumpers",AF3N,20,500,16-05-2024
Unnamed,Daysland Pond,NE9-45-16-W4,RNTR,Trout Lodge/Jumpers,AF3N,21.3,400,18-04-2024
Unnamed,Dewitt's Pond,SE31-26-1-W5,RNTR,"Trout
Lodge/Kamloops",AF3N,20.5,1100,22-04-2024
Unnamed,Dewitt's Pond,SE31-26-1-W5,BNTR,Bow River,3N,19.8,2350,02-05-2024
Unnamed,"Dickson Trout
Pond",NW13-35-3-W5,RNTR,"Trout
Lodge/Jumpers",AF3N,20,9000,01-05-2024
Unnamed,"Dickson Trout
Pond",NW13-35-3-W5,TGTR,Beitty/Bow River,3N,20.3,1700,01-05-2024
Unnamed,"Dickson Trout
Pond",NW13-35-3-W5,RNTR,"Trout
Lodge/Jumpers",AF3N,20.7,1400,08-05-2024
Unnamed,Dickson Trout Pond,NW13-35-3-W5,RNTR,Riverence,AF2N,10,17546,04-06-2024
Unnamed,"Dickson Trout
Pond",NW13-35-3-W5,RNTR,Riverence,AF3N,9.5,4814,04-06-2024
Unnamed,"Dickson Trout
Pond",NW13-35-3-W5,TGTR,Beitty/Bow River,3N,23.4,500,16-09-2024
Unnamed,"Dickson Trout
Pond",NW13-35-3-W5,RNTR,Campbell Lake,3N,21.5,2252,19-09-2024
Unnamed,"Dickson Trout
Pond",NW13-35-3-W5,RNTR,Campbell Lake,3N,16.7,10000,19-09-2024
Unnamed,"Dickson Trout
Pond",NW13-35-3-W5,TGTR,Beitty/Bow River,3N,24.1,1300,24-09-2024
Unnamed,"Dickson Trout
Pond",NW13-35-3-W5,TGTR,Beitty/Bow River,3N,24.4,528,25-09-2024
Unnamed,"Diplomat Mine
Pond",NW1-41-16-W4,RNTR,Campbell Lake,2N,20.3,2000,18-04-2024
Unnamed,"Diplomat Mine
Pond",NW1-41-16-W4,TGTR,Beitty/Bow River,3N,19.3,1500,18-04-2024
Unnamed,"Diplomat Mine
Pond",NW1-41-16-W4,RNTR,Campbell Lake,2N,43.2,30,25-04-2024
Unnamed,"Diplomat Mine
Pond",NW1-41-16-W4,RNTR,Campbell Lake,2N,35.1,55,06-05-2024
Unnamed,East Pit Lake,SE23-53-4-W5,RNTR,Pit Lakes,2N,18.6,8120,03-05-2024
Unnamed,East Pit Lake,SE23-53-4-W5,RNTR,Campbell Lake,2N,10.5,7000,15-05-2024
Unnamed,East Pit Lake,SE23-53-4-W5,RNTR,Campbell Lake,3N,20.5,4500,27-09-2024
Unnamed,East Stormwater Pond,SE29-40-26-W4,BNTR,Bow River,3N,20.4,100,30-04-2024
Unnamed,"East Stormwater
Pond",SE29-40-26-W4,RNTR,"Trout
Lodge/Kamloops",AF3N,20.3,1000,28-05-2024
Unnamed,"Echo Dale
Regional Park Pond",SE5-13-6-W4,RNTR,"Trout
Lodge/Kamloops",AF3N,20.1,1760,16-05-2024
Unnamed,"Echo Dale
Regional Park Pond",SE5-13-6-W4,RNTR,"Trout
Lodge/Kamloops",AF3N,30.1,40,16-05-2024
Unnamed,Elk Creek Pond,NW33-35-12-W5,RNTR,Trout Lodge/Jumpers,AF3N,20.7,250,08-05-2024
Unnamed,Elk Point Pond,NW36-56-7-W4,RNTR,Campbell Lake,2N,19.5,360,03-05-2024
Unnamed,Elk Point Pond,NW36-56-7-W4,BKTR,Beitty Resort,3N,19.5,500,03-05-2024
Unnamed,Elk Point Pond,NW36-56-7-W4,TGTR,Beitty/Bow River,3N,20.1,150,03-05-2024
Unnamed,Enchant Pond,NW8-14-18-W4,TGTR,Beitty/Bow River,3N,20,200,10-04-2024
Unnamed,Enchant Pond,NW8-14-18-W4,RNTR,"Trout
Lodge/Kamloops",AF3N,20.5,2000,18-04-2024
Unnamed,"Fairview College
Pond",SW34-81-3-W6,RNTR,"Trout
Lodge/Jumpers",AF3N,20.1,500,08-05-2024
Unnamed,Fiesta Lake,NE12-35-6-W5,RNTR,"Trout
Lodge/Jumpers",AF3N,20.2,275,06-05-2024
Unnamed,Figure Eight Lake,NE20-84-25-W5,RNTR,"Trout
Lodge/Jumpers",AF3N,19.9,4500,07-05-2024
Unnamed,Figure Eight Lake,NE20-84-25-W5,RNTR,Campbell Lake,3N,19.8,6000,25-09-2024
Unnamed,Footner Pond,SE5-111-19-W5,RNTR,"Trout
Lodge/Jumpers",AF3N,20.7,250,14-05-2024
Unnamed,"Foremost
Reservoir",NW17-6-11-W4,RNTR,"Trout
Lodge/Kamloops",AF3N,20.5,1500,18-04-2024
Unnamed,"Foremost
Reservoir",NW17-6-11-W4,RNTR,Campbell Lake,3N,21.8,500,07-10-2024
Unnamed,"Fox Creek Trout
Pond",NW13-63-20-W5,RNTR,Riverence,AF3N,23.2,251,27-05-2024
Unnamed,"Genesee Trout
Pond",NW1-51-3-W5,RNTR,"Trout
Lodge/Jumpers",AF3N,20.1,250,24-05-2024
Unnamed,Gibbons Pond,NE10-56-23-W4,RNTR,Trout Lodge/Kamloops,AF3N,20.9,325,09-05-2024
Unnamed,"Goldspring Park
Pond",NE6-2-15-W4,RNTR,"Trout
Lodge/Kamloops",AF3N,20.5,2363,18-04-2024
Unnamed,"Goldspring Park
Pond",NE6-2-15-W4,RNTR,"Trout
Lodge/Kamloops",AF3N,21.6,2362,10-06-2024
Unnamed,"Goldspring Park
Pond",NE6-2-15-W4,RNTR,"Trout
Lodge/Kamloops",AF3N,30,50,10-06-2024
Unnamed,Goodwin Reservoir,NW5-22-2-W5,RNTR,Trout Lodge/Jumpers,AF3N,21.5,350,14-06-2024
Unnamed,"Gooseberry Park
Pond",NE22-36-6-W4,RNTR,"Trout
Lodge/Kamloops",AF3N,20.5,3500,23-04-2024
Unnamed,"Hansen's
Reservoir",NE29-38-3-W5,RNTR,"Trout
Lodge/Kamloops",AF3N,20.5,1000,24-04-2024
Unnamed,"Hansen's
Reservoir",NE29-38-3-W5,RNTR,Campbell Lake,3N,23.1,500,15-10-2024
Unnamed,Harleck Pond,SE5-41-14-W5,RNTR,Trout Lodge/Jumpers,AF3N,20.6,400,07-05-2024
Unnamed,Heritage Lake,NW33-55-25-W4,RNTR,"Trout
Lodge/Jumpers",AF3N,20.2,4050,29-04-2024
Unnamed,Heritage Lake,NW33-55-25-W4,BKTR,Beitty Resort,3N,19,1600,29-04-2024
Unnamed,Heritage Lake,NW33-55-25-W4,BNTR,Bow River,3N,20.8,500,29-04-2024
Unnamed,Heritage Lake,NW33-55-25-W4,RNTR,Campbell Lake,3N,21.5,3000,30-09-2024
Unnamed,"Hermitage Park
Pond",NE18-53-23-W4,RNTR,"Trout
Lodge/Jumpers",AF3N,20.3,1295,01-05-2024
Unnamed,"Hermitage Park
Pond",NE18-53-23-W4,BNTR,Bow River,3N,20.1,300,01-05-2024
Unnamed,"Hermitage Park
Pond",NE18-53-23-W4,RNTR,"Trout
Lodge/Kamloops",AF3N,20.9,1100,09-05-2024
Unnamed,"Hermitage Park
Pond",NE18-53-23-W4,RNTR,"Trout
Lodge/Jumpers",AF3N,21.4,1100,10-06-2024
Unnamed,Highway 40 Pond,SW12-69-6-W6,RNTR,Trout Lodge/Jumpers,AF3N,20.1,500,08-05-2024
Unnamed,Highway 63 Pond,NE35-87-9-W4,RNTR,Campbell Lake,2N,20.1,400,10-05-2024
Unnamed,"Highway 686
Pond",NE17-85-19-W5,RNTR,"Trout
Lodge/Jumpers",AF3N,20.7,250,14-05-2024
Unnamed,Hiller's Reservoir,SE13-32-29-W4,RNTR,Campbell Lake,2N,20,3000,19-04-2024
Unnamed,Huber Reservoir,SW36-37-13-W4,TGTR,Beitty/Bow River,3N,19,1250,17-04-2024
Unnamed,Huber Reservoir,SW36-37-13-W4,RNTR,Riverence,AF2N,7.6,5000,17-04-2024
Unnamed,Huber Reservoir,SW36-37-13-W4,RNTR,Campbell Lake,2N,20,2400,17-04-2024
Unnamed,"Innisfree Trout
Pond",SE13-51-12-W4,RNTR,"Trout
Lodge/Jumpers",AF3N,20.9,400,02-05-2024
Unnamed,Innisfree Trout Pond,SE13-51-12-W4,BKTR,Beitty Resort,3N,19.2,600,02-05-2024
Unnamed,"Irma Fish and
Game Pond",SW34-45-9-W4,RNTR,"Trout
Lodge/Jumpers",AF3N,20.9,200,02-05-2024
Unnamed,"Irma Fish and
Game Pond",SW34-45-9-W4,BKTR,Beitty Resort,3N,19.2,300,02-05-2024
Unnamed,"Jarvis Creek
Pond",NE19-52-26-W5,RNTR,"Trout
Lodge/Jumpers",AF3N,20.5,350,27-05-2024
Unnamed,Kerbe's Pond,NE19-36-20-W4,RNTR,"Trout
Lodge/Jumpers",AF3N,20.7,500,17-04-2024
Unnamed,Kerbe's Pond,NE19-36-20-W4,TGTR,Beitty/Bow River,3N,19.5,1000,17-04-2024
Unnamed,Kerbe's Pond,NE19-36-20-W4,BNTR,Bow River,3N,20.7,250,17-04-2024
Unnamed,Kerbe's Pond,NE19-36-20-W4,RNTR,Campbell Lake,2N,55.2,15,25-04-2024
Unnamed,"Kids Can Catch
Pond",SW13-24-1-W5,RNTR,"Trout
Lodge/Jumpers",AF3N,24.9,50,18-07-2024
Unnamed,"Kids Can Catch
Pond",SW13-24-1-W5,RNTR,Campbell Lake,2N,35,10,23-07-2024
Unnamed,"Kids Can Catch
Pond",SW13-24-1-W5,RNTR,Campbell Lake,2N,55,1,23-07-2024
Unnamed,"Kids Can Catch
Pond",SW13-24-1-W5,RNTR,"Trout
Lodge/Jumpers",AF3N,27.5,139,19-08-2024
Unnamed,"Kraft Wimborne
Pond",SE28-33-26-W4,RNTR,"Trout
Lodge/Jumpers",AF3N,20.4,180,30-04-2024
Unnamed,"Kraft Wimborne
Pond",SE28-33-26-W4,TGTR,Beitty/Bow River,3N,20.2,70,30-04-2024
Unnamed,"Kraft Wimborne
Pond",SE28-33-26-W4,BKTR,Beitty Resort,3N,19.8,230,30-04-2024
Unnamed,Kramer Pond,SW25-45-6-W5,RNTR,"Trout
Lodge/Jumpers",AF3N,20.5,1750,03-05-2024
Unnamed,Kramer Pond,SW25-45-6-W5,RNTR,Campbell Lake,3N,21.4,1500,19-09-2024
Unnamed,La Crete Pond,SW15-106-12-W5,RNTR,Trout Lodge/Jumpers,AF3N,20.7,750,14-05-2024
Unnamed,"Lacombe Park
Pond",NW5-54-25-W4,RNTR,"Trout
Lodge/Jumpers",AF3N,20.3,500,30-04-2024
Unnamed,"Lacombe Park
Pond",NW5-54-25-W4,BKTR,Beitty Resort,3N,21.7,600,15-05-2024
Unnamed,Lamont Pond,SW27-55-19-W4,RNTR,"Trout
Lodge/Kamloops",AF3N,20.9,2000,08-05-2024
Unnamed,Lara Fish Pond,NE25-61-5-W4,RNTR,Campbell Lake,2N,20,160,03-05-2024
Unnamed,Lara Fish Pond,NE25-61-5-W4,RNTR,Campbell Lake,2N,22.5,200,07-10-2024
Unnamed,Leduc Reservoir,NE27-49-25-W4,RNTR,Campbell Lake,2N,20.7,1310,29-04-2024
Unnamed,Leduc Reservoir,NE27-49-25-W4,RNTR,Campbell Lake,2N,20,690,29-04-2024
Unnamed,Legal Reservoir,NW24-57-25-W4,RNTR,"Trout
Lodge/Jumpers",AF3N,20.1,1200,17-05-2024
Unnamed,Len Thompson Pond,NW29-40-26-W4,RNTR,Trout Lodge/Jumpers,AF3N,20.3,1792,30-04-2024
Unnamed,"Len Thompson
Pond",NW29-40-26-W4,TGTR,Beitty/Bow River,3N,19.7,650,30-04-2024
Unnamed,"Len Thompson
Pond",NW29-40-26-W4,RNTR,"Trout
Lodge/Kamloops",AF3N,20.3,400,28-05-2024
Unnamed,"Len Thompson
Pond",NW29-40-26-W4,RNTR,"Trout
Lodge/Kamloops",AF3N,30,40,28-05-2024
Unnamed,"Little Beaverdam
Lake",SE34-1-28-W4,TGTR,Beitty/Bow River,3N,19.5,1000,16-05-2024
Unnamed,"Lloydminster
Pond",SE6-50-1-W4,RNTR,Campbell Lake,2N,20,200,03-05-2024
Unnamed,Lodgepole Pond,NE1-48-10-W5,RNTR,"Trout
Lodge/Jumpers",AF3N,20.1,100,24-05-2024
Unnamed,"Lougheed Trout
Pond",NE33-43-11-W4,RNTR,"Trout
Lodge/Kamloops",AF3N,20.9,600,10-05-2024
Unnamed,Lovett Lake,NW10-47-19-W5,RNTR,"Trout
Lodge/Jumpers",AF3N,20.2,500,23-05-2024
Unnamed,Machesis Lake,NW27-107-16-W5,RNTR,"Trout
Lodge/Jumpers",AF3N,20.7,2000,14-05-2024
Unnamed,"Magrath
Childrens Pond",SW26-5-22-W4,RNTR,"Trout
Lodge/Kamloops",AF3N,21.6,500,11-06-2024
Unnamed,Magrath Childrens Pond,SW26-5-22-W4,RNTR,Trout Lodge/Kamloops,AF3N,30,25,11-06-2024
Unnamed,Mayan Lake,NW5-57-23-W5,RNTR,"Trout
Lodge/Jumpers",AF3N,20.7,1000,22-05-2024
Unnamed,"McClennan
Reservoir",SW32-77-19-W5,RNTR,"Trout
Lodge/Jumpers",AF3N,20.7,250,29-05-2024
Unnamed,"McLaren’s
Reservoir",SW23-33-18-W4,RNTR,"Trout
Lodge/Jumpers",AF3N,20.5,2008,25-05-2024
Unnamed,"McLaren's
Reservoir",SW23-33-18-W4,RNTR,"Trout
Lodge/Jumpers",AF3N,20.7,1352,25-05-2024
Unnamed,"McQuillan
Reservoir",SW13-8-19-W4,RNTR,"Trout
Lodge/Jumpers",AF3N,19.9,1900,10-04-2024
Unnamed,"McQuillan
Reservoir",SW13-8-19-W4,RNTR,"Trout
Lodge/Kamloops",AF3N,21.6,1400,10-06-2024
Unnamed,"McVinnie
Reservoir",SW33-12-21-W4,RNTR,"Trout
Lodge/Jumpers",AF3N,20,1155,10-04-2024
Unnamed,McVinnie Reservoir,SW33-12-21-W4,TGTR,Beitty/Bow River,3N,20,400,10-04-2024
Unnamed,"McVinnie
Reservoir",SW33-12-21-W4,RNTR,"Trout
Lodge/Kamloops",AF3N,21.6,1645,10-06-2024
Unnamed,"Md Peace Pond
#1",SW27-83-23-W5,RNTR,"Trout
Lodge/Jumpers",AF3N,20.7,500,14-05-2024
Unnamed,"Md Peace Pond
#2",SW27-83-23-W5,RNTR,"Trout
Lodge/Jumpers",AF3N,20.7,500,14-05-2024
Unnamed,Midway Reservoir,SE16-30-27-W4,RNTR,Trout Lodge/Kamloops,AF3N,20.5,2000,22-04-2024
Unnamed,Mile 07 Lake,NE35-69-14-W4,RNTR,Campbell Lake,2N,20.1,4400,10-05-2024
Unnamed,Mitford Ponds,SE4-26-4-W5,BNTR,Bow River,3N,19.4,61,03-05-2024
